Cantidad de Procesos,Hora de Inicio,Hora de Fin
150,63,2850.1493689079643
150,64,2767.1977637609766
150,65,2857.883819252756
150,66,2813.7159675781404
150,67,2820.1169573546667
150,68,2830.0024370656097
150,69,2850.456327298124
150,70,2863.6373648782815
150,71,3049.8523198001703
150,72,2924.798069487458
150,73,3026.080356401157
150,74,3031.448720776207
150,75,3003.0008707506304
150,76,3147.4112738151575
150,77,3170.8863279432403
150,78,3148.7928261744128
150,79,3094.559307483653
150,80,3208.1183866489637
150,81,3257.1156218230008
150,82,3139.0464897594375
150,83,3179.7719205889935
150,84,3267.6023934296973
150,85,3352.8109712494784
150,86,3276.69993054786
150,87,3367.914134326689
150,88,3471.180947103594
150,89,3471.972687314552
150,90,3524.25709232723
150,91,3448.749175474257
150,92,3546.817777987479
150,93,3566.0776837963713
150,94,3496.9543305301477
150,95,3544.9118964618447
150,96,3589.449302072777
150,97,3537.398717005822
150,98,3761.2442990751047
150,99,3797.9301391171425
150,100,3808.4822790211724
150,101,3825.945907385216
150,102,3764.1259312268216
150,103,3864.79062807769
150,104,3795.032155816235
150,105,3698.397348630793
150,106,3724.383806353175
150,107,3827.985817627784
150,108,3968.101770787623
150,109,3925.294155006983
150,110,3828.598662380354
150,111,3837.3425678739213
150,112,3837.4098099595203
150,113,4097.061865212145
150,114,4145.324092124795
150,115,4163.949041877628
150,116,3932.4144240772275
150,117,3944.702516809115
150,118,4090.1202686362794
150,119,4095.93779628567
150,120,4258.9190251079335
150,121,3996.6461196551495
150,122,4276.171989186173
150,123,4050.212692761876
150,124,4236.87442259225
150,125,4067.837123179616
150,126,4234.150955439979
150,127,4156.16435144101
150,128,4431.922421735616
150,129,4459.48486457654
150,130,4253.714166864095
150,131,4261.815402243372
150,132,4524.852439332931
150,133,4389.871879865746
150,134,4392.1157583519125
150,135,4553.497563388063
150,136,4550.4438713137615
150,137,4369.489157647777
150,138,4373.726228271553
150,139,4531.567195306896
150,140,4409.809293907756
150,141,4431.773876498136
150,142,4481.986700338495
150,143,4613.636574822828
150,144,4538.07049320825
150,145,4737.740227505499
150,146,4576.716420643665
150,147,4664.190345357191
150,148,4707.467640282705
150,149,4868.350055143329
200,0,110.41894770645611
200,1,237.91518235883433
200,2,281.2960551802366
200,3,102.35814343133461
200,4,384.36475237314
200,5,318.40044572007025
200,6,406.03610434953885
200,7,427.2784752154695
200,8,379.4783917817501
200,9,499.6881368634658
200,10,593.2221393340453
200,11,670.4286006403623
200,12,805.4897234457428
200,13,756.3140403376805
200,14,682.4597784997421
200,15,735.1007515309061
200,16,809.3270831927434
200,17,1119.3521375941727
200,18,1135.5847223317455
200,19,990.9305384456861
200,20,1169.7187279256436
200,21,1202.9764555818272
200,22,1234.6019224650327
200,23,1294.4335705936523
200,24,1377.131276283044
200,25,1420.573712130906
200,26,1400.226787504157
200,27,1447.8054490093123
200,28,1612.0499177123697
200,29,1704.4014656896018
200,30,1488.5697648469445
200,31,1632.473711338769
200,32,1757.9701338809887
200,33,1598.4954145115175
200,34,1747.2941085690143
200,35,1855.0969760507185
200,36,1894.486709517505
200,37,1936.7691457118449
200,38,1863.6810618681322
200,39,2037.5376826450322
200,40,1849.7052244194567
200,41,2156.759938570683
200,42,2207.494638492783
200,43,2227.9975130842445
200,44,2247.830576566758
200,45,2302.329201963698
200,46,2465.6414817730115
200,47,2243.972943388052
200,48,2527.217146611119
200,49,2481.535901521666
200,50,2504.6063301101685
200,51,2403.3805657794637
200,52,2519.583067560702
200,53,2494.7566369131673
200,54,2554.7037254916745
200,55,2629.2091045465804
200,56,2668.7506596313538
200,57,2596.0073142210404
200,58,2722.2892431042833
200,59,2635.1287476340635
200,60,2840.401645236834
200,61,2722.66441063409
200,62,2890.5555818468565
200,63,2749.738280783367
200,64,2769.767000957126
200,65,2792.3124047095844
200,66,2897.3668255828543
200,67,2829.498512534596
200,68,2906.5176536479466
200,69,2857.1708156255795
