Cantidad de Procesos,Nombre,Hora de Inicio,Hora de Fin,Tiempo Total
100,Proceso(14),21.841684253778553,270.15349740868726,248.3118131549087
100,Proceso(15),21.841684253778553,179.0580284015743,157.21634414779572
100,Proceso(16),21.841684253778553,21.841684253778553,0.0
100,Proceso(17),21.841684253778553,179.0580284015743,157.21634414779572
100,Proceso(18),21.841684253778553,396.7784158139858,374.93673156020725
100,Proceso(19),34.996457270768914,274.9779435973829,239.98148632661395
100,Proceso(20),35.96248030495349,274.9779435973829,239.0154632924294
100,Proceso(21),42.60091109819757,194.69906229474745,152.09815119654988
100,Proceso(22),74.69057766666387,282.8310529262594,208.14047525959555
100,Proceso(23),93.66377048111626,282.8310529262594,189.16728244514314
100,Proceso(24),97.96230772489939,202.74292137974768,104.7806136548483
100,Proceso(25),98.77248349290899,98.77248349290899,0.0
100,Proceso(26),98.77248349290899,98.77248349290899,0.0
